campaignID,group,date,clicked,subtotal
22,baseline,2021-01-05,,118.27
22,baseline,2021-01-01,,109.68
22,baseline,2021-01-08,,124.14
22,baseline,2021-01-13,,107.06
22,baseline,2021-01-27,,120.16
22,baseline,2021-01-19,,111.9
22,baseline,2021-01-22,,117.13
22,baseline,2021-01-21,,117.59
22,baseline,2021-01-21,,117.56
22,baseline,2021-01-23,,121.74
22,baseline,2021-01-23,,111.7
22,baseline,2021-01-31,,107.36
22,baseline,2021-01-08,,117.59
22,baseline,2021-01-28,,111.83
22,baseline,2021-01-03,,116.93
22,baseline,2021-01-04,,112.78
22,baseline,2021-01-29,,115.09
22,baseline,2021-01-14,,119.28
22,baseline,2021-01-19,,114.66
22,baseline,2021-01-10,,122.39
22,baseline,2021-01-25,,114.2
22,baseline,2021-01-29,,118.08
22,baseline,2021-01-23,,110.25
22,baseline,2021-01-25,,115.16
22,baseline,2021-01-10,,127.53
22,baseline,2021-01-18,,104.61
22,baseline,2021-01-23,,123.25
22,baseline,2021-01-18,,117.59
22,baseline,2021-01-14,,115.64
22,baseline,2021-01-21,,112.59
22,baseline,2021-01-18,,122.92
22,baseline,2021-01-22,,105.6
22,baseline,2021-01-08,,123.61
22,baseline,2021-01-22,,115.76
22,baseline,2021-01-16,,123.16
22,baseline,2021-01-10,,98.55
22,baseline,2021-01-06,,119.22
22,baseline,2021-01-14,,113.52
22,baseline,2021-01-18,,110.42
22,baseline,2021-01-20,,125.36
22,baseline,2021-01-15,,110.42
22,baseline,2021-01-30,,110.89
22,baseline,2021-01-27,,107.05
22,baseline,2021-01-25,,104.1
22,baseline,2021-01-20,,109.44
22,baseline,2021-01-11,,116.9
22,baseline,2021-01-04,,106.6
22,baseline,2021-01-15,,113.06
22,baseline,2021-01-03,,116.8
22,baseline,2021-01-08,,114.91
22,baseline,2021-01-09,,102.62
22,baseline,2021-01-20,,106.76
22,baseline,2021-01-16,,123.16
22,baseline,2021-01-09,,109.1
22,baseline,2021-01-11,,119.78
