campaignID,group,date,clicked,subtotal
35,baseline,2021-01-17,,102.67
35,baseline,2021-01-06,,125.48
35,baseline,2021-01-11,,119.27
35,baseline,2021-01-10,,115.54
35,baseline,2021-01-11,,124.52
35,baseline,2021-01-01,,110.18
35,baseline,2021-01-29,,121.59
35,baseline,2021-01-08,,113.18
35,baseline,2021-01-05,,117.38
35,baseline,2021-01-12,,111.92
35,baseline,2021-01-19,,113.16
35,baseline,2021-01-24,,114.59
35,baseline,2021-01-21,,115.28
35,baseline,2021-01-12,,121.24
35,baseline,2021-01-10,,117.19
35,baseline,2021-01-25,,121.62
35,baseline,2021-01-30,,114.61
35,baseline,2021-01-31,,121.55
35,baseline,2021-01-17,,114.61
35,baseline,2021-01-07,,117.64
35,baseline,2021-01-06,,110.02
35,baseline,2021-01-24,,106.87
35,baseline,2021-01-02,,119.51
35,baseline,2021-01-07,,108.86
35,baseline,2021-01-11,,111.13
35,baseline,2021-01-02,,109.52
35,baseline,2021-01-13,,108.6
35,baseline,2021-01-17,,119.77
35,baseline,2021-01-10,,121.66
35,baseline,2021-01-28,,117.48
35,baseline,2021-01-16,,115.62
35,baseline,2021-01-22,,117.25
35,baseline,2021-01-26,,108.64
35,baseline,2021-01-02,,114.25
35,baseline,2021-01-07,,113.65
35,baseline,2021-01-06,,125.14
35,baseline,2021-01-12,,119.13
35,baseline,2021-01-07,,117.53
35,baseline,2021-01-06,,113.69
35,baseline,2021-01-13,,119.46
35,baseline,2021-01-20,,116.58
35,baseline,2021-01-10,,114.62
35,baseline,2021-01-29,,110.4
35,baseline,2021-01-22,,117.94
35,baseline,2021-01-04,,115.64
35,baseline,2021-01-08,,111.08
35,baseline,2021-01-07,,108.0
35,baseline,2021-01-06,,125.22
35,baseline,2021-01-19,,109.36
35,baseline,2021-01-19,,114.89
35,baseline,2021-01-17,,121.12
35,baseline,2021-01-13,,113.65
35,baseline,2021-01-27,,111.21
35,baseline,2021-01-08,,106.77
35,baseline,2021-01-13,,119.68
35,baseline,2021-01-24,,112.37
35,baseline,2021-01-14,,119.83
35,baseline,2021-01-26,,103.23
35,baseline,2021-01-30,,118.91
35,baseline,2021-01-14,,112.03
35,baseline,2021-01-16,,105.11
35,baseline,2021-01-18,,108.86
35,baseline,2021-01-07,,116.32
35,baseline,2021-01-22,,115.77
