campaignID,group,date,clicked,subtotal
35,treatment,2021-01-17,0,57.12
35,treatment,2021-01-06,0,37.25
35,treatment,2021-01-05,0,29.09
35,treatment,2021-01-23,1,145.21
35,treatment,2021-01-07,0,143.16
35,treatment,2021-01-13,0,377.48
35,treatment,2021-01-07,1,12.85
35,treatment,2021-01-06,0,183.02
35,treatment,2021-01-31,0,35.47
35,treatment,2021-01-06,0,54.3
35,treatment,2021-01-11,1,14.58
35,treatment,2021-01-23,0,31.54
35,treatment,2021-01-09,0,53.21
35,treatment,2021-01-30,0,6.98
35,treatment,2021-01-29,0,120.97
35,treatment,2021-01-29,0,95.53
35,treatment,2021-01-26,0,49.54
35,treatment,2021-01-05,0,9.72
35,treatment,2021-01-02,0,270.14
35,treatment,2021-01-07,0,24.48
35,treatment,2021-01-28,0,15.77
35,treatment,2021-01-31,0,385.11
35,treatment,2021-01-26,0,752.71
35,treatment,2021-01-19,0,230.75
35,treatment,2021-01-01,1,38.63
35,treatment,2021-01-09,0,94.3
35,treatment,2021-01-22,0,124.99
35,treatment,2021-01-02,0,222.08
35,treatment,2021-01-26,0,17.64
35,treatment,2021-01-24,0,54.81
35,treatment,2021-01-28,0,23.01
35,treatment,2021-01-26,1,34.31
35,treatment,2021-01-07,0,90.37
35,treatment,2021-01-15,0,6.22
35,treatment,2021-01-23,0,18.1
35,treatment,2021-01-16,0,54.71
35,treatment,2021-01-16,0,15.78
35,treatment,2021-01-13,1,88.17
35,treatment,2021-01-24,0,70.92
35,treatment,2021-01-04,0,105.22
35,treatment,2021-01-22,0,186.56
35,treatment,2021-01-20,0,27.11
35,treatment,2021-01-27,0,18.18
35,treatment,2021-01-04,0,53.52
35,treatment,2021-01-02,1,65.47
35,treatment,2021-01-05,0,393.27
35,treatment,2021-01-09,0,50.03
35,treatment,2021-01-29,0,209.5
35,treatment,2021-01-11,0,28.18
35,treatment,2021-01-23,0,212.54
35,treatment,2021-01-12,0,169.02
35,treatment,2021-01-15,0,179.06
35,treatment,2021-01-01,0,26.09
35,treatment,2021-01-04,0,131.93
35,treatment,2021-01-15,1,52.61
35,treatment,2021-01-01,0,128.9
35,treatment,2021-01-03,0,161.14
35,treatment,2021-01-03,0,31.78
35,treatment,2021-01-05,0,13.61
35,treatment,2021-01-15,0,4.15
35,treatment,2021-01-18,0,86.27
35,treatment,2021-01-06,0,18.08
35,treatment,2021-01-12,0,109.76
35,treatment,2021-01-29,0,191.61
35,treatment,2021-01-12,0,36.44
35,treatment,2021-01-01,0,228.22
35,treatment,2021-01-09,0,211.1
35,treatment,2021-01-14,0,25.78
35,treatment,2021-01-08,0,30.78
35,treatment,2021-01-30,0,238.14
35,treatment,2021-01-25,0,11.63
35,treatment,2021-01-29,0,48.95
35,treatment,2021-01-02,0,149.42
35,treatment,2021-01-10,0,97.15
35,treatment,2021-01-25,0,164.61
35,treatment,2021-01-08,1,17.52
35,treatment,2021-01-28,0,76.79
35,treatment,2021-01-19,0,39.15
35,treatment,2021-01-17,0,61.71
35,treatment,2021-01-30,0,20.22
35,treatment,2021-01-08,1,63.77
35,treatment,2021-01-27,0,22.78
35,treatment,2021-01-18,0,29.4
35,treatment,2021-01-04,0,83.1
35,treatment,2021-01-30,0,15.98
35,treatment,2021-01-22,0,54.15
35,treatment,2021-01-12,0,66.36
35,treatment,2021-01-26,1,12.85
35,treatment,2021-01-01,0,48.85
35,treatment,2021-01-03,0,6.4
35,treatment,2021-01-27,0,19.06
35,treatment,2021-01-01,0,280.7
35,treatment,2021-01-24,1,52.61
35,treatment,2021-01-08,0,14.7
35,treatment,2021-01-07,0,4.4
35,treatment,2021-01-16,0,204.31
35,treatment,2021-01-07,1,22.43
35,treatment,2021-01-03,0,14.47
35,treatment,2021-01-14,0,18.08
35,treatment,2021-01-07,0,12.1
35,treatment,2021-01-02,0,67.53
35,treatment,2021-01-04,0,218.72
35,treatment,2021-01-29,0,135.63
35,treatment,2021-01-29,0,38.86
35,treatment,2021-01-03,0,357.23
35,treatment,2021-01-01,0,229.11
35,treatment,2021-01-07,0,12.85
35,treatment,2021-01-02,1,44.29
35,treatment,2021-01-18,1,130.88
35,treatment,2021-01-14,0,712.41
35,treatment,2021-01-10,0,185.56
35,treatment,2021-01-26,0,25.0
35,treatment,2021-01-04,1,291.71
35,treatment,2021-01-18,0,52.73
35,treatment,2021-01-21,0,104.64
35,treatment,2021-01-15,0,66.36
35,treatment,2021-01-31,0,140.37
35,treatment,2021-01-03,1,159.24
35,treatment,2021-01-06,0,76.24
35,treatment,2021-01-21,0,33.74
35,treatment,2021-01-13,1,78.78
35,treatment,2021-01-02,0,107.22
35,treatment,2021-01-04,1,4.61
35,treatment,2021-01-22,0,58.71
35,treatment,2021-01-22,0,35.84
35,treatment,2021-01-25,1,32.97
35,treatment,2021-01-27,0,89.16
35,treatment,2021-01-28,1,234.08
35,treatment,2021-01-28,0,72.3
35,treatment,2021-01-29,0,25.29
35,treatment,2021-01-10,1,53.65
35,treatment,2021-01-22,0,253.34
35,treatment,2021-01-05,1,6.19
35,treatment,2021-01-06,0,90.74
35,treatment,2021-01-03,0,218.8
35,treatment,2021-01-24,1,60.6
35,treatment,2021-01-27,0,29.23
35,treatment,2021-01-28,0,31.99
35,treatment,2021-01-18,1,58.68
35,treatment,2021-01-19,0,73.58
35,treatment,2021-01-27,0,176.24
35,treatment,2021-01-04,0,47.42
35,treatment,2021-01-11,1,304.34
35,treatment,2021-01-07,0,105.99
35,treatment,2021-01-10,0,172.66
35,treatment,2021-01-25,0,2.53
35,treatment,2021-01-05,0,280.7
35,treatment,2021-01-19,0,175.06
35,treatment,2021-01-24,0,26.94
35,treatment,2021-01-08,1,5.82
35,treatment,2021-01-23,0,25.32
35,treatment,2021-01-13,0,13.5
35,treatment,2021-01-07,0,37.85
35,treatment,2021-01-11,0,41.13
35,treatment,2021-01-15,0,13.64
35,treatment,2021-01-18,0,482.21
35,treatment,2021-01-21,1,7.9
35,treatment,2021-01-22,0,37.3
35,treatment,2021-01-20,0,102.94
35,treatment,2021-01-10,1,38.26
35,treatment,2021-01-17,0,7.44
35,treatment,2021-01-21,0,86.67
35,treatment,2021-01-16,0,33.74
35,treatment,2021-01-10,1,30.17
35,treatment,2021-01-28,1,30.78
35,treatment,2021-01-09,0,32.54
35,treatment,2021-01-19,0,434.54
35,treatment,2021-01-16,0,47.63
35,treatment,2021-01-13,0,30.31
35,treatment,2021-01-16,0,115.36
35,treatment,2021-01-30,1,31.41
35,treatment,2021-01-18,0,31.65
35,treatment,2021-01-01,0,30.88
35,treatment,2021-01-03,1,504.33
35,treatment,2021-01-02,1,17.32
35,treatment,2021-01-20,1,82.81
35,treatment,2021-01-24,0,103.33
35,treatment,2021-01-27,0,85.93
35,treatment,2021-01-07,0,169.16
35,treatment,2021-01-15,0,31.78
35,treatment,2021-01-30,0,12.97
35,treatment,2021-01-02,1,488.55
35,treatment,2021-01-31,0,44.57
35,treatment,2021-01-22,0,76.16
35,treatment,2021-01-22,0,112.21
35,treatment,2021-01-02,1,11.81
35,treatment,2021-01-14,0,267.23
35,treatment,2021-01-12,0,137.77
35,treatment,2021-01-08,0,197.63
35,treatment,2021-01-30,0,117.32
35,treatment,2021-01-16,0,32.14
35,treatment,2021-01-13,0,21.1
35,treatment,2021-01-14,0,54.3
35,treatment,2021-01-16,0,112.08
35,treatment,2021-01-09,0,67.23
35,treatment,2021-01-04,0,7.14
35,treatment,2021-01-30,0,20.37
35,treatment,2021-01-28,0,44.25
35,treatment,2021-01-16,0,226.31
35,treatment,2021-01-03,1,116.35
35,treatment,2021-01-07,0,69.77
35,treatment,2021-01-16,0,282.58
35,treatment,2021-01-08,0,16.34
35,treatment,2021-01-21,1,229.11
35,treatment,2021-01-12,0,26.13
35,treatment,2021-01-12,0,21.62
35,treatment,2021-01-15,0,34.92
35,treatment,2021-01-22,0,51.89
35,treatment,2021-01-14,0,32.04
35,treatment,2021-01-10,0,23.14
35,treatment,2021-01-26,0,159.24
35,treatment,2021-01-17,0,185.56
35,treatment,2021-01-28,0,20.37
35,treatment,2021-01-29,0,595.98
35,treatment,2021-01-15,0,19.1
35,treatment,2021-01-08,0,421.31
35,treatment,2021-01-15,0,80.14
35,treatment,2021-01-08,1,212.54
35,treatment,2021-01-09,0,119.82
35,treatment,2021-01-24,0,304.34
35,treatment,2021-01-23,0,78.87
35,treatment,2021-01-14,0,77.29
35,treatment,2021-01-21,0,22.23
35,treatment,2021-01-28,1,116.56
35,treatment,2021-01-22,0,38.58
35,treatment,2021-01-08,0,27.15
35,treatment,2021-01-23,0,24.83
35,treatment,2021-01-03,0,10.11
35,treatment,2021-01-17,0,898.16
35,treatment,2021-01-10,0,14.48
35,treatment,2021-01-20,0,45.89
35,treatment,2021-01-28,1,242.09
35,treatment,2021-01-05,0,257.55
35,treatment,2021-01-06,1,190.85
35,treatment,2021-01-01,0,100.15
35,treatment,2021-01-27,0,88.74
